cycle,first(COVID_Maths).S,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).H,first(COVID_Maths).M,first(COVID_Maths).D,first(COVID_Maths).R
0,150.0,0.0,2.0,0.0,0.0,0.0,0.0
1,70.96261294702617,74.77555737500134,3.151497160832745,0.3854752191123765,1.5518570741811368,0.01010969257042085,0.1765579361862835
2,12.190158535446264,123.18503837749923,6.945115250638752,1.0597337475347894,5.2341271022220734,0.05208095801796295,0.7966087373769364
3,0.7907576448815018,122.28866873592527,8.980209322397547,1.823770276430462,11.171031961836002,0.15342651173048374,2.1014553535182747
4,0.12840492469274067,111.48617666480179,9.106259049063675,2.290111348744173,17.685509152434665,0.32420726667577865,3.9607797895766192
5,0.10830690653346381,101.12940413931682,8.55455583469515,2.4960642605075005,23.77552914932217,0.5584879139560492,6.101230195953188
6,0.11773463509635484,91.74339293648876,7.848341694876547,2.5679180109564324,29.136627588262307,0.8469402008428388,8.346587872431211
7,0.13035819115628128,83.2587235931261,7.147304779585139,2.5805056959735224,33.732853001636485,1.1809296698766512,10.613551387872425
8,0.14451902132875016,75.58979546415563,6.494799993729106,2.566879923350374,37.61203788680108,1.5529673031466225,12.865780757244
9,0.1599917881299897,68.65795661199635,5.8993500143725806,2.5402846161916517,40.84319197644043,1.9565407871579674,15.086650728538308
10,0.1767574389974946,62.3919756515399,5.3594166135821455,2.50602925689731,43.49658346798406,2.385941659302299,17.267393722309702
11,0.19485838058303737,56.72745888271496,4.8708282525209645,2.466463701625981,45.637874013740664,2.836145461041196,19.402513687792155
12,0.21435998750023877,51.606223984845435,4.428978850813228,2.4228502200462247,47.32674999172484,3.302725759843933,21.48809130808002
13,0.23533664149582587,46.97571136478176,4.029455393155485,2.376030475047012,48.616941503255305,3.7817862811846856,23.521149546986454
14,0.25786603409408543,42.788444820825156,3.6681957022886693,2.326657867213502,49.55663621305469,4.269903458673362,25.499392771355197
15,0.282026509196032,39.00154163784983,3.341507703022135,2.275279671648137,50.18897717179883,4.764076028106121,27.421076560439115
16,0.30789552995786346,35.576269111807235,3.0460496817033302,2.222368463465565,50.55255067202322,5.261680115826294,29.284925167122275
17,0.33554854723713395,32.47764367763683,2.7788012599720013,2.1683364794643514,50.68183828590368,5.760428984026544,31.090068667471275
18,0.36505799917107506,29.67406876370993,2.537033803126951,2.113544054765268,50.60762823255878,6.258336875384638,32.83599028133152
19,0.3964923462921342,27.13700770876389,2.3182826771005014,2.0583057853506097,50.3573874560992,6.753686521126367,34.52248042404535
20,0.42991511528248855,24.84068836830167,2.1203218867631435,2.00289562215272,49.95559744884481,7.244999941424713,36.14959604561519
21,0.46538395201507865,22.76183633855753,1.9411410792420403,1.9475513128362252,49.42405711132035,7.731012210496757,37.71762448394387
22,0.5029496957845723,20.879434013224298,1.7789247471003022,1.8924783530938687,48.78215579031213,8.210647893057935,39.22705130162863
23,0.542655491133367,19.17450295370913,1.632033436648721,1.8378535260545115,48.04711938241117,8.682999888160953,40.67853168017306
24,0.5845359550922657,17.62990729640647,1.4989867716948033,1.7838280795761425,47.23423212486208,9.147310442444333,42.07286500356071
25,0.6286164174104764,16.23017614123787,1.3784481172334413,1.7305305797213653,46.357036444544654,9.60295411811603,43.410972304232494
26,0.6749122500320547,14.961343066095553,1.269210723376181,1.6780694729050816,45.42751300590957,10.04942252197203,44.69387627805675
27,0.7234282999715196,13.810801093549578,1.1701852050178747,1.6265353853864224,44.456242890056245,10.486310620660696,45.92268360404761
28,0.7741584370398579,12.767171600872162,1.0803882267865073,1.5760031857826693,43.4525536485755,10.913304484461626,47.09856933056246
29,0.8270852247421258,11.82018581358864,0.9989322756302899,1.5265338337294423,42.424650805589096,11.33017031723929,48.2227631130527
30,0.8821797192789332,10.960577657732356,0.9250164150182734,1.4781760355614557,41.37973622790947,11.736744644120693,49.296537109490174
31,0.9394013981081643,10.179986867970056,0.8579179252524308,1.4309677258815068,40.32411464483182,12.132925540980988,50.32119535860459
32,0.9986982161276485,9.470871358876696,0.796984743899334,1.3849373920872714,39.26328947429948,12.518664801135312,51.29806448325763
33,1.060006784377846,8.826427965875547,0.7416286289325428,1.3401052573102394,38.20204899972286,12.89396094484968,52.228485576833485
34,1.1232526633669024,8.240520751651836,0.6913189749109141,1.296484335767292,37.14454384037658,13.258852986505614,53.11380714460711
35,1.1883507607913515,7.707616154053028,0.6455772194754269,1.254081373213951,36.094356566933804,13.613414882584793,53.955378984812
36,1.2552058216319522,7.222724323431454,0.6039717836967401,1.2128976840032601,35.05456423134664,13.957750591161368,54.75454690568199
37,1.3237129973814716,6.781346061813909,0.5661134954098457,1.1729298951800324,34.02779450601044,14.291989680388943,55.5126481852217
38,1.3937584805101588,6.379424833933927,0.5316514496920912,1.1341706070648139,33.016276060161154,14.616283429611373,56.23100768994796
39,1.4652201901678306,6.013303371709925,0.5002692651324909,1.0966089788940507,32.021883740996635,14.930801372277713,56.91093457744591
40,1.5379684955073172,5.679684439834272,0.47168169855704917,1.0602312472730675,31.04617907242059,15.235728234859103,57.55371951536351
41,1.611866963822938,5.37559537134838,0.44563158446650253,1.0250211844588717,30.090446534986917,15.531261230500498,58.16063235651202
42,1.6867731218491555,5.098356018962964,0.42188706865566794,0.9909605028134246,29.155726046030964,15.817607670239221,58.73292021610163
43,1.7625392199728511,4.845549800939786,0.40023910836001153,0.958029211149274,28.24284201863966,16.094982858326617,59.27180590288433
44,1.8390129906923105,4.614997550032084,0.38049921385388735,0.9262059281235231,27.35242934160431,16.363608241536525,59.77848666115348
45,1.9160383943263715,4.40473390068879,0.3624974087411571,0.895468157318684,26.484956589439705,16.62370978536831,60.254133185206726
46,1.9934563466655173,4.212985973819524,0.3460803882638406,0.8657925281765664,25.64074674160259,16.875516552783314,60.69988887206666
47,2.0711054249002765,4.038154140206122,0.33110985683577315,0.8371550065206723,24.819995662899796,17.11925946357847,61.116869282007144
48,2.1488225497094406,3.878794663405228,0.3174610277101996,0.809531078010742,24.02278857247544,17.355170214726297,61.50616177979851
49,2.226443642800884,3.7336040409513895,0.30502126923401557,0.7828959075174595,23.249114706466543,17.58348034401633,61.868825332590276
50,2.3038042604410482,3.601404879043864,0.2936888835452519,0.7572244770833703,22.498880359205035,17.804420421142297,62.2058904430363
0,150.0,0.0,2.0,0.0,0.0,0.0,0.0
1,14.620102467959583,112.45649904163577,16.415074796403914,1.3829607245978133,4.820153017337646,0.0225287512367649,0.4115668779521242
2,0.03677618815568325,85.959393450555,27.942664003961482,4.798868749242307,22.63452514871351,0.20148923785073589,3.236200678730042
3,0.04039365834375648,57.855281740264594,24.08968401746341,6.235742159014469,41.928605209770616,0.6064301167813584,8.342212462767966
4,0.05565354850658523,39.03598582591276,17.81579793978927,6.046032754444684,56.505914871964926,1.1753793831981452,13.881463013836226
5,0.07921140228286312,26.43294094932857,12.504091615782453,5.316012771748899,66.02448951367299,1.841868840457285,18.917664648120784
6,0.11281978064424263,17.98818773081703,8.61247760233881,4.560755558044879,71.56552873953058,2.560188389089098,23.237798408777582
7,0.1588407764409719,12.323999573264658,5.904104839334513,3.935520009077323,74.28370372928538,3.301265603146182,26.909729999959563
8,0.2197808289688414,8.518346475692727,4.057075328086519,3.4540971334022768,75.08990751282536,4.0468048003211585,30.06544644359137
9,0.29790819624287845,5.954461617500099,2.8068778968201644,3.089859229288807,74.63633464054922,4.785291502408791,32.82603916253235
10,0.39489168655060775,4.220140041186314,1.961837920642784,2.811876243043836,73.37145475792907,5.509523915248495,35.28473888575043
11,0.5115308842879366,3.0402767541359506,1.3894313929266224,2.59488474840042,71.59783872223365,6.215083862538524,37.50877348443831
12,0.6476470277931725,2.2315933999309396,0.9998781088539581,2.420442809830532,69.5175947564016,6.899368050839896,39.545441322841256
13,0.8021500412114764,1.672200398029013,0.732950773450941,2.2757114445454354,67.26490693431695,7.560962285115846,41.42786133032042
14,0.9732378303655014,1.28112246378505,0.5484544872479489,2.1519476610668167,64.928458787253,8.199232333949638,43.179392414549845
15,1.158653188702196,1.0045520977280393,0.4196311162561022,2.043259555628044,62.5666052653174,8.81405473221034,44.81677859923589
16,1.3559290429612567,0.8066612914725594,0.32867564504830044,1.9456924863062408,60.217535430102515,9.405639047743243,46.35231036222975
17,1.562579650067074,0.6634974948854675,0.26372234795337063,1.856590487550002,57.90603804350471,9.974410227175635,47.79528308043456
18,1.7762243920060945,0.55895397541234,0.21683601694098872,1.7741610594131316,55.647989104102635,10.52093047959534,49.15297078347379
19,1.9946505575027036,0.48212291445082583,0.182682259155458,1.6971831187280382,53.45332404244057,11.04584722142597,50.43127219516136
20,2.215830060048095,0.42556159713625225,0.15765184345330993,1.624813189998145,51.328007944367606,11.54985825081527,51.6351380820141
21,2.4379057257244177,0.38415695206436495,0.13928582212833784,1.5564578737362156,49.27534583522243,12.033688371741402,52.76885407072159
22,2.6591597228036177,0.35438033778524103,0.12589840766356664,1.4916904467916887,47.29685901011919,12.498073684349771,53.83622863877685
23,2.8779727956977905,0.33379648956354396,0.11632922903874067,1.430196548276646,45.392875816135025,12.943751058521087,54.84071920372237
24,3.0927796355344364,0.32073824841797155,0.10978005618822256,1.3717388927316576,43.562934012122184,13.371451153440459,55.785517928514686
25,3.3020234109020223,0.3140897876337706,0.10570669788067738,1.316134374371271,41.80605822414934,13.78189389669192,56.67361135094963
26,3.5041111714810915,0.3131410484600017,0.10374701099460289,1.263239223927828,40.12095409583472,14.175785696386859,57.50782301397416
27,3.6973713647499715,0.31748879553856085,0.10367257214342952,1.2129393916010942,38.50614644057611,14.553817896201554,58.29084505712434
28,3.880014930196829,0.3269676293714153,0.1053557766624283,1.1651443046605716,36.960079326455094,14.916666138725208,59.02526263059926
29,4.050102277483921,0.3415990866363396,0.10874676437863229,1.1197827614865126,35.48118977666044,15.26499040414372,59.713573608076025
30,4.205519883239336,0.36154967818659417,0.11385616467387152,1.0768000942675353,34.06796247497958,15.599435555660513,60.35820513067795
31,4.343972217804947,0.387090074844758,0.12074055931117911,1.0361559393104456,32.718969757185135,15.920632260138014,60.961527830138586
32,4.462997102522675,0.41854821583634566,0.1294880271164261,0.9978220505009329,31.432898744758234,16.22919816782016,61.525868031296966
33,4.560015030187312,0.45624945917045984,0.14020136231784658,0.9617796184760848,30.20856543346258,16.525739231579077,62.053517741758014
34,4.632424679791516,0.5004377452524059,0.15297675994482696,0.9280155548084733,29.04491375358603,16.810851025630082,62.54674175445905
35,4.677756481690816,0.5511740645752188,0.1678761996451378,0.896517215563699,27.94099612486862,17.085119888265222,63.007780710557746
36,4.69389173184955,0.6082134235524514,0.1848927584704273,0.8672651375106397,26.895931113675687,17.34912366761187,63.43884853997673
37,4.679344323423188,0.6708698779711572,0.20390997773931005,0.8402236243692599,25.908833986300902,17.603431803537923,63.84212242588431
38,4.633584447583975,0.7378908921381386,0.22465937943349842,0.815329527516851,24.9787179577478,17.848604449680955,64.21972351130503
39,4.557360067202389,0.8073749238983889,0.24668401100243256,0.7924803424422551,24.10436845035612,18.08519035197585,64.57368721547773
40,4.452948608764626,0.8767743280083781,0.26931945980970556,0.7715236918760553,23.28419990911182,18.3137232827089,64.9059234621813
41,4.3242591067661165,0.9430217169709617,0.29170521280953904,0.7522511004137715,22.516113767613138,18.534717004396075,65.21816937876989
42,4.1767165544202385,1.0027954197164322,0.3128362824206082,0.7343992122131066,21.79738452274681,18.748659005350078,65.51193979289825
43,4.016902106828614,1.0528994401461296,0.3316564001965933,0.7176607732976144,21.12460468584546,18.956003569267963,65.78848337481398
44,3.8519874609665767,1.0906877766555145,0.34718116434695817,0.701705608795181,20.493714787074254,19.157165031702508,66.04875346182075
45,3.6890657161105413,1.1144335137886041,0.35862696096893737,0.6862089124536925,19.900130131724723,19.352512230316492,66.29340147722058
46,3.534515104660808,1.1235484688413133,0.3655154873141231,0.6708815119562536,19.33895446746815,19.542365087210747,66.5227971423457
47,3.393518963250209,1.1186016847303715,0.3677284111474706,0.6554956352614779,18.805249064122,19.726993953445707,66.73707420288768
48,3.269811830698884,1.1011465084434586,0.36550098287007815,0.6399007643727204,18.294312023146627,19.906621872130096,66.93619489594066
49,3.1656537623884637,1.0734183939908994,0.35936109797176974,0.62402704541663,17.80192197473103,20.081429416482038,67.12002275938991
50,3.081981462263465,1.037988524806454,0.3500338417923417,0.6078771757444865,17.32451211771798,20.251561376496465,67.28839273465967
51,3.0186610562847815,0.9974492741066447,0.33833636655269594,0.5915103265428452,16.85925936348183,20.417134389634572,67.44116968851253
52,2.9747715891122066,0.9541786379620287,0.32508428252921595,0.5750227001810194,16.404092084270374,20.578244643330976,67.57829031907272
53,2.9488687086591803,0.9101984706562598,0.3110222530468519,0.5585288252046388,15.957633310441183,20.7349749613143,67.69978744131485
54,2.9392017559167267,0.8671171330817711,0.29678247612184366,0.5421462889450671,15.519102188108285,20.887400837192345,67.80579874494983
55,2.9438765604485093,0.8261348273587185,0.282868089148532,0.5259850338064264,15.088196054526007,21.035595223273557,67.89656381256299
56,2.960968030865915,0.7880875722067985,0.2696551427921683,0.5101411048328668,14.66497104946797,21.17963207496147,67.9724135834813
57,2.9885919893226123,0.7535094223155866,0.2574061364508266,0.4946940193772889,14.249733270649552,21.319588775943433,68.03375596353607
58,3.024946781004161,0.7226984223799868,0.24628911537841033,0.479706682536818,13.842946900931908,21.45554763232401,68.08106037525734
59,3.0683340434021384,0.6957775142875673,0.23639799490214944,0.4652268366647361,13.445161400969475,21.58759664027705,68.11484307351856
60,3.1171660693718763,0.6727460909872937,0.22777143260859178,0.4512892480248223,13.056956993719972,21.715829718804304,68.13565422365266
61,3.1699652319965232,0.6535208941030999,0.2204088920969155,0.43791808163736645,12.678906084367567,21.840346571083042,68.14406713001367
62,3.2253592963187177,0.637966701103384,0.21428345143830474,0.42512913228732657,12.311547621907119,21.961252304679846,68.1406696090071
63,3.282075202344688,0.6259180944411257,0.20935145421852602,0.4129317416731829,11.955371375145802,22.078656908649993,68.12605727957906
64,3.3389330236577983,0.6171938822322086,0.20555937562634655,0.40133033885841524,11.61080939202526,22.192674657264284,68.10082844460835
65,3.3948412038783933,0.6116057028969542,0.20284837519357465,0.39032560429584184,11.278232347158712,22.30342348688316,68.06558021312124
66,3.4487937643959383,0.6089621669895409,0.20115700704383635,0.37991528992981677,10.957948942841922,22.411024374285407,68.02090553168274
67,3.4998698894873534,0.6090696730412591,0.2004225105464435,0.37009474090170447,10.65020695331195,22.515600730983543,67.96739083121233
68,3.5472360735877153,0.6117308377601224,0.20058104212944786,0.3608571669823112,10.355194866906075,22.617277817985396,67.90561403962121
69,3.590150819809502,0.6167413303210513,0.20156715119739757,0.3521937099911768,10.073043383821702,22.716182178389627,67.83614275456834
70,3.627971682045225,0.6238858022065865,0.2033127583077633,0.3440933508035635,9.80382627724592,22.812441080561605,67.7595324120623
71,3.66016423086852,0.6329335522621371,0.2057458642901805,0.33654269806723286,9.547560335782398,22.90618196201497,67.67632432588567
72,3.6863122941673856,0.6436345471600391,0.20878920299773088,0.329525701213394,9.304204288270677,22.997531863251808,67.58704351138553
73,3.706128588095466,0.6557164101921471,0.21235904319386747,0.323023332615787,9.073656778286688,23.086616841536745,67.49219624679077
74,3.7194646364643225,0.6688829720931887,0.21636434008049993,0.31701328700167336,8.85575361017072,23.173561356799738,67.39226736717823
75,3.7263187122283794,0.6828149210158828,0.22070642638312155,0.31146974908035163,8.650264630944125,23.25848762548385,67.2877173308009
76,3.726840465042509,0.6971729722633062,0.22527940884492698,0.3063632810961234,8.456890736478474,23.341514943020428,67.1789791435889
77,3.7213309647587924,0.7116037877282911,0.22997139192238253,0.3016608787982391,8.275261583886373,23.422758981448517,67.06645527249347
78,3.7102371213768,0.7257486103316945,0.2346665830583266,0.29732623558342697,8.104934639887388,23.50233107506367,66.95051471768394
79,3.6941398437117634,0.7392542592146403,0.23924824470575923,0.2933202394599321,7.945396181102411,23.580337513280046,66.83149044204559
80,3.6737358465478844,0.7517857961534823,0.243602354933018,0.289601706315864,7.79606477498353,23.65687886538326,66.70967736834442
81,3.6498136496597877,0.7630398772487189,0.24762173452575598,0.2861283274976842,7.656297605969584,23.732049365750623,66.58533114515039
82,3.62322494430421,0.7727576059867042,0.2512103115786349,0.2828577830742515,7.525399779111838,23.80593638970297,66.45866784971213
83,3.5948530339154208,0.7807356541703557,0.2542871425786122,0.2797489485075147,7.402636454952767,23.87862004891914,66.32986474036366
84,3.5655803956859686,0.7868345413216389,0.256789805658175,0.27676310605669135,7.287247378628009,23.950172931121344,66.1990620974603
85,3.5362574997618186,0.7909832519633253,0.25867683238301004,0.27386506652517295,7.178463103222808,24.02066000177438,66.06636610854858
86,3.5076748504321875,0.7931797795157213,0.25992894375043674,0.2710241135358075,7.075522011403678,24.090138676489985,65.93185267099959
87,3.4805398155412317,0.7934876454343874,0.26054898843228547,0.26821470067923986,6.977687140002077,24.158659062676566,65.79557191457107
88,3.45545926200817,0.7920288738252955,0.2605606243547007,0.26541685865620407,6.884261823570635,24.22626435887052,65.65755319646225
89,3.432928412022926,0.7889742363461747,0.26000591467748413,0.2626163003895752,6.7946032904854885,24.2929913912437,65.51781029805105
90,3.4133257686760716,0.7845317760417696,0.25894210639359544,0.2598042419800987,6.70813354750525,24.358871259905456,65.37634655690057
91,3.3969135027874158,0.7789346600426978,0.2574379124848628,0.2569769819220053,6.624347142732623,24.42393006336112,65.23315969671455
92,3.383842384450589,0.7724293175606171,0.25556962481702944,0.2541352972765307,6.542815665237226,24.48818966801498,65.08824616532809
93,3.3741601910008585,0.7652646295790767,0.25341735123950127,0.25128372249047537,6.4631890877262395,24.551668490706984,64.94160484841437
94,3.367822509616006,0.7576826967128624,0.2510616088007039,0.24842977495742816,6.385194260592731,24.61438226546493,64.79324008617613
95,3.3647049438003034,0.7499114658426977,0.24858042977580982,0.24558318321494024,6.308631006664754,24.676344770296694,64.64316397497403
96,3.3646158894995564,0.742159278050116,0.24604706138835883,0.24275516140916936,6.233366342502311,24.737568495261996,64.49139798083318
97,3.3673092322477722,0.7346112303851242,0.2435282735444394,0.239957759877056,6.159327369800026,24.798065238637204,64.3379739246419
98,3.3724965028401295,0.7274271295235871,0.24108323740994184,0.23720330847574092,6.0864933510137895,24.857846623229243,64.18293441929227
99,3.3798581961541196,0.7207407538342361,0.23876290326388303,0.2345039580385145,6.0148874211086545,24.916924529472126,64.02633284826862
100,3.389054095259139,0.7146601229469063,0.23660978783755202,0.2318713167745332,5.944568306630619,24.975311445670073,63.86823297547108
101,3.399732547206318,0.7092684890269246,0.23465807656018736,0.22931617269818488,5.875622336502448,25.033020738578408,63.70870826992808
102,3.411538709027234,0.7046257999768426,0.23293395124469962,0.22684829001478,5.808155945479411,25.090066849482554,63.54784101899283
103,3.4241218264554685,0.7007704316367066,0.23145606521877543,0.22447626632140397,5.742288797385168,25.146465422153323,63.38572129175551
104,3.43714162894,0.6977210359728069,0.2302361026680618,0.22220743794893444,5.6781475945445345,25.20223336966126,63.22244580237727
105,3.450273928084169,0.6954783998489218,0.22927937463172252,0.22004782224214742,5.615860593419489,25.257388887176408,63.05811671199861
106,3.463215497783805,0.6940272509515517,0.22858541901700688,0.218002087599133,5.555552813874545,25.311951417702524,62.89284039848191
107,3.4756882974863985,0.693337982074424,0.22814858514692243,0.2160735443197975,5.4973419092363605,25.365941577324215,62.72672621583762
108,3.4874430789016277,0.6933682916465843,0.22795859417939415,0.2142641514950855,5.441334654290453,25.419381046083053,62.55988525980866
109,3.4982623942951565,0.6940647571934455,0.22800107503512015,0.21257453713539673,5.387624006279595,25.472292430125023,62.39242915261539
110,3.507963003796778,0.6953643698218207,0.22825808126046054,0.2110040303832535,5.336286697551731,25.524699100331905,62.22446885803887
111,3.516397662104045,0.6971960624916772,0.228708597674442,0.20955070592118016,5.287381325620285,25.576625012296997,62.05611353751437
112,3.5234562532944316,0.6994822635658229,0.22932904691957967,0.20821144154152724,5.24094691513958,25.628094512248257,61.88746945835978
113,3.5290662374656865,0.7021405007958685,0.23009380541296726,0.20698199028322012,5.1970019350169165,25.67913213335543,61.71863896629449
114,3.533192375397027,0.7050850705069128,0.23097573597267204,0.205857068571942,5.155543761215088,25.729762386770357,61.54971953563665
115,3.5358357075752025,0.7082287734305281,0.2319467409131061,0.2048304614535045,5.116548580679053,25.780009551713476,61.38080291165092
116,3.5370317813170313,0.7114847037137988,0.2329783350491394,0.20389514533272732,5.079971733505434,25.829897468904356,61.21197436013137
117,3.536848143212139,0.7147680625486817,0.23404223325942317,0.2030434276902052,5.0457484885674075,25.87944934160131,61.04331203918156
118,3.5353811419179477,0.717997954137168,0.23511094251008652,0.202267102135579,5.013795242283494,25.928687548428652,60.874886507102815
119,3.5327521161305286,0.7210991108028336,0.236158344018241,0.20155761597444266,4.98401112142228,25.977633471996825,60.70676037821851
